Fecha_Accidente,DIRECCION ACCIDENTE,CONDICION_VICTIMA,GRAVEDAD_ACCIDENTE,CLASE_ACCIDENTE,SEXO_VICTIMA,EDAD_VICTIMA,CANTIDAD_VICTIMAS
2018-09-27,CALLE 45 CARRERA 26,Ciclista,herido,Choque,M,18,1
2018-09-27,CARRERA 15SUR N°69-06,Motociclista,herido,Choque,M,46,1
2018-09-27,CR 22 CL 37,Motociclista,herido,Choque,M,39,1
2018-09-27,CR 22 CL 37,Pasajero,herido,Choque,M,15,1
2018-09-28,CALLE 36 CARRERA 44,Pasajero,herido,Caida Ocupante,M,83,1
2018-09-28,CL 30 CR 14,Motociclista,herido,Choque,M,34,1
2018-09-28,CL 42 CR 33,Motociclista,herido,Choque,F,35,1
2018-09-28,CL 45 CR 20,Motociclista,herido,Choque,M,28,1
2018-09-28,CL 68 CR 41,Acompañante,herido,Choque,M,48,1
2018-09-28,CR 43 CL 98,Conductor,herido,Choque,M,32,1
2018-09-28,CR 9G CL 130,Motociclista,herido,Choque,M,33,1
2018-09-29,CL 45 CR 30,Motociclista,herido,Atropello,M,33,1
2018-09-29,CL 45 CR 30,Peaton,herido,Atropello,F,47,1
2018-09-29,CL 110 CR 8,Acompañante,herido,Choque,M,20,1
2018-09-29,CL 110 CR 8,Motociclista,herido,Choque,M,20,1
2018-09-29,CL 31 23 57,Motociclista,herido,Choque,M,28,1
2018-09-29,CL 84 CR 42B1,Motociclista,herido,Choque,M,24,1
2018-09-29,CL 84 CR 68,Pasajero,herido,Choque,F,57,1
2018-09-29,CL 93 CR 45B,Acompañante,herido,Choque,M,28,1
2018-09-29,VIA 40 78 21,Acompañante,herido,Choque,F,22,1
2018-09-29,VIA 40 CL 79 Y 80,Acompañante,herido,Choque,M,21,1
2018-09-29,VIA 40 CL 79 Y 80,Motociclista,herido,Choque,M,27,1
2018-09-30,CL 110 CR 26,Motociclista,herido,Choque,M,55,1
2018-09-30,CL 36 19D 20,Conductor,herido,Choque,M,23,1
2018-09-30,CR 38 CL 61,Conductor,herido,Choque,M,65,1
2018-09-30,VIA LAS FLORES A LA PLAYA  A 250 METROS,Ciclista,herido,Choque,M,47,1
2018-09-30,VIA LAS FLORES A LA PLAYA  A 250 METROS,Motociclista,herido,Choque,M,24,1
2018-10-01,CARRERA 32 CALLE 68,Motociclista,herido,Choque,M,28,1
2018-10-01,CL 110 ENTRADA 20 DE JULIO,Motociclista,herido,Choque,M,28,1
2018-10-01,CL 70C 24B 49,Acompañante,herido,Choque,F,31,1
2018-10-01,CL 70C 24B 49,Motociclista,herido,Choque,M,28,1
2018-10-01,CR 55 CL 50,Motociclista,herido,Choque,M,22,1
2018-10-01,CR 5B CL 45D,Conductor,herido,Choque,M,56,1
2018-10-01,CR 5B CL 45D,Motociclista,herido,Choque,F,33,1
2018-10-02,CL 19 3E 14,Peaton,herido,Atropello,M,69,1
2018-10-02,CALLE 64 CARRERA 25,Acompañante,herido,Choque,M,30,1
2018-10-02,CALLE 64 CARRERA 25,Motociclista,herido,Choque,M,37,1
2018-10-02,CR 15 SUR CL 80,Motociclista,herido,Choque,M,24,1
2018-10-02,VIA 40 CR 67,Motociclista,herido,Choque,M,31,1
2018-10-03,CALLE 30 N°20-10,Pasajero,herido,Caida Ocupante,F,38,1
2018-10-03,CALLE 51B CARRERA 6,Peaton,herido,Choque,M,64,1
2018-10-03,CL 110 CR 9 SUR,Ciclista,herido,Choque,M,17,1
2018-10-03,CL 110 CR 9 SUR,Conductor,herido,Choque,M,42,1
2018-10-03,CR 38 43 37,Motociclista,herido,Choque,M,23,1
2018-10-03,CR 44 CL 61,Motociclista,herido,Choque,M,33,1
2018-10-03,CR 44 CL 61,Peaton,herido,Choque,M,68,1
2018-10-04,CR 29 36 54,Peaton,herido,Atropello,M,46,1
2018-10-04,CALLE 80 CARRERA 42H,Pasajero,herido,Choque,F,38,1
2018-10-04,CARRERA 21B CALLE 60,Acompañante,herido,Choque,M,25,1
2018-10-04,CL 68 CR 46,Motociclista,herido,Choque,M,22,1
2018-10-05,CALLE 79 CARRERA 59B,Motociclista,herido,Choque,M,35,1
2018-10-05,CL 110 CR 31,Acompañante,herido,Choque,M,21,1
2018-10-05,CL 30 CR 27,Motociclista,herido,Choque,M,51,1
2018-10-05,CL 30 CR 28,Acompañante,herido,Choque,M,34,1
2018-10-05,CL 30 CR 28,Acompañante,herido,Choque,M,50,1
2018-10-05,CL 45 CR 10B,Motociclista,herido,Choque,M,39,1
2018-10-05,CL 79 CR 49B,Acompañante,herido,Choque,F,27,1
2018-10-05,CL 79 CR 49B,Conductor,herido,Choque,F,49,1
2018-10-05,CR 8 CL 80,Acompañante,herido,Choque,F,28,1
2018-10-06,CALLE 17 N°20-23,Peaton,herido,Atropello,M,77,1
2018-10-06,CL 81 CR 67,Conductor,herido,Choque,F,41,1
2018-10-06,CR 57 CL 81,Conductor,herido,Choque,M,33,1
2018-10-06,CR 57 CL 81,Pasajero,herido,Choque,M,38,1
2018-10-07,CR 15 SUR 98B 100,Pasajero,herido,Choque,M,61,1
2018-10-08,CARRERA 11 CALLE 23,Acompañante,herido,Choque,F,19,1
2018-10-08,CARRERA 11 CALLE 23,Motociclista,herido,Choque,M,37,1
2018-10-08,CL 66 CR 67,Motociclista,herido,Choque,M,34,1
2018-10-08,CL 66 CR 67,Pasajero,herido,Choque,F,32,1
2018-10-08,CL 84 CR 70,Conductor,herido,Choque,F,25,1
2018-10-08,CL 84 CR 70,Pasajero,herido,Choque,M,40,1
2018-10-08,CR 38 CL 60,Acompañante,herido,Choque,M,22,1
2018-10-09,CALLE 61 CARRERA 27,Motociclista,herido,Choque,M,34,1
2018-10-09,CALLE 61 CARRERA 27,Pasajero,herido,Choque,F,33,1
2018-10-09,CL 63 CR 38,Motociclista,herido,Choque,M,33,1
2018-10-09,CR 6 CL 134,Motociclista,muerto,Choque,M,42,1
2018-10-09,VIA 40 CR 53,Acompañante,herido,Choque,M,31,1
2018-10-09,VIA 40 CR 53,Motociclista,herido,Choque,M,31,1
2018-10-10,CL 110 CR 26,Peaton,muerto,Atropello,M,72,1
2018-10-10,CALLE 48F N°9SUR-23,Motociclista,herido,Choque,M,48,1
2018-10-10,CL 45 CR 53,Motociclista,herido,Choque,M,45,1
2018-10-10,CR 51B CL 98,Conductor,herido,Choque,M,65,1
2018-10-10,CR 51B CL 98,Motociclista,herido,Choque,M,29,1
2018-10-11,CALLE 84 CARRERA 21,Motociclista,herido,Choque,M,21,1
2018-10-11,CALLE 84 CARRERA 21,Peaton,herido,Choque,F,49,1
2018-10-11,CARRERA 30 N°6-42,Motociclista,herido,Choque,M,41,1
2018-10-11,CARRERA 47 CALLE 58,Motociclista,herido,Choque,M,45,1
2018-10-11,CL 110 CR 12A,Acompañante,herido,Choque,M,26,1
2018-10-11,CL 110 CR 12A,Conductor,herido,Choque,M,23,1
2018-10-11,CL 110 CR 12A,Motociclista,herido,Choque,M,32,1
2018-10-11,CL 61 CR 23,Motociclista,herido,Choque,F,40,1
2018-10-11,CR 76 CL 88,Motociclista,herido,Choque,M,39,1
2018-10-11,CL 64 CR 63,Peaton,herido,Otro,M,52,1
2018-10-12,CALLE 46 CARRERA 19,Peaton,herido,Atropello,M,38,1
2018-10-12,CARRERA 43 CALLE 41,Peaton,herido,Atropello,M,30,1
2018-10-12,CR 38 CL 53,Peaton,herido,Atropello,F,43,1
2018-10-12,CR 38 CL 53,Peaton,herido,Atropello,M,8,1
2018-10-12,CALLE 74 CARRERA 41C,Conductor,herido,Choque,M,42,1
2018-10-12,CALLE 74 CARRERA 41C,Pasajero,herido,Choque,M,32,1
2018-10-12,CALLE 87 CARRERA 21,Acompañante,herido,Choque,M,33,1
2018-10-12,CALLE 87 CARRERA 21,Motociclista,herido,Choque,M,28,1
2018-10-12,CARRERA 50 CALLE 90,Conductor,herido,Choque,F,27,1
2018-10-12,CARRERA 50 CALLE 90,Conductor,herido,Choque,F,56,1
2018-10-13,CL 36B CR 11,Pasajero,herido,Caida Ocupante,M,23,1
2018-10-13,CL 23 CR 22,Ciclista,herido,Choque,M,59,1
2018-10-13,CL 30 CR 1,Motociclista,herido,Choque,M,29,1
2018-10-13,CL 6 CR 41,Pasajero,herido,Choque,F,25,1
2018-10-13,CL 6 CR 41,Pasajero,herido,Choque,F,53,1
2018-10-13,CL 6 CR 41,Pasajero,herido,Choque,M,46,1
2018-10-13,CL 6 CR 41,Pasajero,herido,Choque,M,47,1
2018-10-13,CL 90 CR 58,Conductor,herido,Choque,M,64,1
2018-10-14,CLLE 90 CRA 49C,Peaton,herido,Atropello,M,52,1
2018-10-14,CR 27 81D 54,Peaton,herido,Atropello,M,87,1
2018-10-14,CALLE 115 CARRERA 26,Acompañante,herido,Choque,F,23,1
2018-10-14,CALLE 115 CARRERA 26,Acompañante,herido,Choque,M,0,1
2018-10-14,CALLE 115 CARRERA 26,Motociclista,herido,Choque,M,31,1
2018-10-14,CALLE 80 CARRERA 45,Motociclista,herido,Choque,M,36,1
2018-10-14,CL 63B CR 23,Motociclista,herido,Choque,M,21,1
2018-10-15,CALLE 45 CARRERA 30,Acompañante,herido,Choque,M,19,1
2018-10-15,CALLE 91 CARRERA 6E-2,Motociclista,herido,Choque,M,26,1
2018-10-15,CALLE 91 CARRERA 6E-2,Pasajero,herido,Choque,M,27,1
2018-10-15,CR 44B CL 61,Motociclista,herido,Choque,M,47,1
2018-10-15,CR 9D CL 87,Acompañante,herido,Choque,M,11,1
2018-10-15,CR 9D CL 87,Ciclista,herido,Choque,M,23,1
2018-10-15,VIA 40 CALLE 85,Acompañante,herido,Choque,F,8,1
2018-10-15,VIA 40 CALLE 85,Pasajero,herido,Choque,F,8,1
2018-10-16,CALLE 70 CARRERA 49,Peaton,herido,Atropello,M,33,1
2018-10-16,CL 30 CR 33,Motociclista,herido,Choque,M,27,1
2018-10-16,CR 55 CL 49,Conductor,herido,Choque,F,36,1
2018-10-16,CR 55 CL 49,Pasajero,herido,Choque,M,23,2
2018-10-17,CALLE 21 CARRERA 20,Peaton,herido,Atropello,M,26,1
2018-10-17,CL 30 CR 36,Peaton,herido,Atropello,F,26,1
2018-10-18,CALLE 84 N°41-30,Motociclista,herido,Choque,M,34,1
2018-10-18,CALLE 84B CARRERA 41B,Acompañante,herido,Choque,M,7,1
2018-10-18,CALLE 84B CARRERA 41B,Conductor,herido,Choque,F,28,1
2018-10-18,CALLE 84B CARRERA 41B,Conductor,muerto,Choque,M,35,1
2018-10-18,CARRERA 25 CALLE 38,Motociclista,herido,Choque,M,24,1
2018-10-18,CARRERA 43B CALLE 76,Conductor,herido,Choque,F,38,1
2018-10-18,CR 38 CL 51,Motociclista,herido,Choque,M,40,1
2018-10-19,CALLE 19 CARRERA 7,Peaton,herido,Atropello,M,34,1
2018-10-19,CALLE 40 CARRERA 46,Conductor,herido,Choque,M,45,1
2018-10-19,CALLE 45 N°5B-80,Conductor,herido,Choque,M,30,1
2018-10-19,CALLE 53 CARRERA 50,Acompañante,herido,Choque,F,23,1
2018-10-19,CALLE 53 CARRERA 50,Motociclista,herido,Choque,M,22,1
2018-10-19,CARRERA 42B1 CALLE 86,Conductor,herido,Choque,M,32,1
2018-10-19,CR 1 CL 46,Motociclista,herido,Choque,M,9,1
2018-10-19,CR 1 CL 46,Pasajero,herido,Choque,M,18,1
2018-10-20,CARRERA 59 CALLE 90,Motociclista,herido,Choque,F,39,1
2018-10-20,CL 58 CR 15,Acompañante,herido,Choque,M,18,1
2018-10-20,CL 58 CR 15,Motociclista,herido,Choque,M,19,1
2018-10-20,CL 84 CR 65,Motociclista,herido,Choque,F,23,1
2018-10-20,CR 20 CL 31,Acompañante,herido,Choque,M,29,1
2018-10-20,CR 23 CL 9,Ciclista,herido,Choque,M,12,1
2018-10-21,CL 70 CR 17,Peaton,herido,Atropello,M,46,1
2018-10-22,CL 110 CR 37,Peaton,herido,Atropello,M,43,1
2018-10-22,CALLE 85 CARRERA 73,Motociclista,herido,Choque,M,36,1
2018-10-22,CL 6 CR 48,Acompañante,herido,Choque,M,44,1
2018-10-22,CR 23 CL 40,Motociclista,herido,Choque,M,33,1
2018-10-22,CR 3 49B 11,Motociclista,herido,Choque,M,26,1
2018-10-23,CL 110 FRENTE 90B 122,Acompañante,herido,Atropello,M,15,1
2018-10-23,CL 110 FRENTE 90B 122,Conductor,herido,Atropello,M,58,1
2018-10-23,CR 21 CL 38C,Conductor,herido,Choque,M,28,1
2018-10-23,CR 21 CL 38C,Conductor,herido,Choque,M,65,1
2018-10-23,CR 21 CL 38C,Pasajero,herido,Choque,M,32,1
2018-10-24,AV CORDIALIDAD CR 13,Motociclista,herido,Choque,M,26,1
2018-10-24,CALLE 30 CARRERA 6B,Motociclista,herido,Choque,F,31,1
2018-10-24,CARRERA 18 CALLE 45E,Motociclista,herido,Choque,M,40,1
2018-10-24,CL 110 CR 6,Motociclista,herido,Choque,M,33,1
2018-10-24,CL 30 CR 20 Y 21,Motociclista,herido,Choque,M,40,1
2018-10-24,CR 40 CL 32 16,Ciclista,herido,Choque,M,28,1
2018-10-24,CR 45 CL 42,Motociclista,herido,Choque,M,40,1
2018-10-24,VIA 40 CARRERA 67,Motociclista,herido,Choque,M,23,1
2018-10-25,CALLE 110 CARRERA 9G,Acompañante,herido,Choque,F,33,1
2018-10-25,CALLE 110 CARRERA 9G,Motociclista,herido,Choque,M,23,1
2018-10-25,CL 54 CR 36,Ciclista,herido,Choque,M,27,1
2018-10-25,CL 78 21B 415,Conductor,herido,Choque,M,40,1
2018-10-25,CL 78 21B 415,Conductor,herido,Choque,M,50,1
2018-10-25,CL 78 21B 415,Pasajero,herido,Choque,F,41,1
2018-10-25,CL 78 21B 415,Pasajero,herido,Choque,M,24,1
2018-10-25,CL 78 21B 415,Pasajero,herido,Choque,M,26,1
2018-10-25,CL 78 21B 415,Pasajero,herido,Choque,M,27,1
2018-10-25,CL 78 21B 415,Pasajero,herido,Choque,M,30,1
2018-10-25,CL 78 21B 415,Pasajero,herido,Choque,M,39,1
2018-10-25,CL 78 21B 415,Pasajero,herido,Choque,M,41,1
2018-10-25,CL 78 21B 415,Pasajero,herido,Choque,M,47,2
2018-10-25,CL 78 21B 415,Pasajero,herido,Choque,M,48,1
2018-10-25,CR 59B CL 94,Motociclista,herido,Choque,M,25,1
2018-10-26,AV CIRCUNVALAR CON CR 38,Peaton,muerto,Atropello,M,39,1
2018-10-26,CALLE 45 CARRERA 13C,Peaton,herido,Atropello,M,54,1
2018-10-26,CL 19 8 07,Peaton,herido,Atropello,M,61,1
2018-10-26,CARRERA 26 CALLE 120,Motociclista,herido,Choque,M,27,1
2018-10-26,CL 84 CR 65,Conductor,herido,Volcamiento,F,25,1
2018-10-27,CARRERA 13 CALLE 71B,Motociclista,herido,Choque,M,32,1
2018-10-28,CL 45 AV CIRCUNVALAR,Motociclista,herido,Atropello,M,29,1
2018-10-28,CL 45 AV CIRCUNVALAR,Peaton,herido,Atropello,M,5,1
2018-10-28,AV CIRCUNVALAR 69 28,Motociclista,herido,Choque,M,29,1
2018-10-28,BARRANQUILLA SANTA MARTA K 0 + 700 M,Acompañante,herido,Choque,M,30,1
2018-10-28,BARRANQUILLA SANTA MARTA K 0 + 700 M,Motociclista,muerto,Choque,M,40,1
2018-10-28,CL 30 CR 14,Motociclista,herido,Choque,F,28,1
2018-10-28,CR 32 CL 69D,Acompañante,herido,Choque,M,1,1
2018-10-28,CR 32 CL 69D,Acompañante,herido,Choque,M,5,1
2018-10-28,CR 32 CL 69D,Acompañante,herido,Choque,M,21,1
2018-10-28,CR 32 CL 69D,Acompañante,herido,Choque,M,25,1
2018-10-28,CR 32 CL 69D,Conductor,herido,Choque,M,22,1
2018-10-28,CR 32 CL 69D,Conductor,herido,Choque,M,26,1
2018-10-28,CR 41D CL 84B,Motociclista,herido,Choque,M,22,1
2018-10-29,CL 28 CR 15,Peaton,herido,Atropello,M,30,1
2018-10-29,CL 110 CR 12B,Pasajero,herido,Choque,F,39,1
2018-10-29,CL 110 CR 12B,Pasajero,herido,Choque,M,34,1
2018-10-29,CL 110 CR 12B,Pasajero,herido,Choque,M,52,1
2018-10-29,CL 110 CR 3 SUR 33,Motociclista,herido,Choque,M,36,1
2018-10-29,CL 17 CR 8,Motociclista,herido,Choque,F,49,1
2018-10-29,CL 63 CR 43,Conductor,herido,Choque,M,24,1
2018-10-29,CR 22 CL 38,Acompañante,herido,Choque,M,37,1
2018-10-29,CR 22 CL 38,Motociclista,herido,Choque,M,44,1
2018-10-29,CARRERA 8B CALLE 41B,Motociclista,herido,Otro,M,24,1
2018-10-30,AVENIDA CIRCUNVALAR CARRERA 10C,Motociclista,herido,Choque,M,29,1
2018-10-30,CL 100 CR 31,Pasajero,herido,Choque,M,1,1
2018-10-30,CL 35 CR 33,Pasajero,herido,Choque,M,43,1
2018-10-30,CL 68 CR 61,Acompañante,herido,Choque,M,31,1
2018-10-30,CL 99B CR 42G 2,Ciclista,herido,Choque,M,17,1
2018-10-31,CR 15 SUR CL 70,Peaton,herido,Atropello,M,22,1
2018-10-31,15 SUR CL 110,Acompañante,herido,Choque,M,43,1
2018-10-31,15 SUR CL 110,Conductor,herido,Choque,M,42,1
2018-10-31,CL 45 CR 14,Motociclista,herido,Choque,M,23,1
2018-10-31,CL 61 CR 25,Motociclista,herido,Choque,M,33,1
2018-10-31,CORDIALIDAD GALAPA,Pasajero,herido,Choque,F,24,1
2018-10-31,CR 16 CL 47,Acompañante,herido,Choque,M,31,1
2018-10-31,CR 16 CL 47,Acompañante,herido,Choque,M,38,1
2018-10-31,CR 16 CL 47,Acompañante,herido,Choque,M,45,1
2018-10-31,CR 16 CL 47,Conductor,herido,Choque,F,24,1
2018-10-31,CR 8 CL 33A,Acompañante,herido,Choque,M,26,1
2018-10-31,CR 8 CL 33A,Motociclista,herido,Choque,M,28,1
2018-10-31,VIA GALAPA KILOMETRO 1,Ciclista,herido,Choque,M,54,1
2018-10-31,VIA GALAPA KILOMETRO 1,Motociclista,herido,Choque,M,20,1
2018-10-31,CARRERA 38 CALLE 81D-107,Pasajero,herido,Volcamiento,F,52,1
2018-10-31,CARRERA 38 CALLE 81D-107,Pasajero,herido,Volcamiento,M,18,1
2018-10-31,CARRERA 38 CALLE 81D-107,Pasajero,herido,Volcamiento,M,19,1
2018-11-01,VIA 40 N°50B-54,Peaton,herido,Atropello,M,64,1
2018-11-01,CL 19 CR 6D Y 7,Pasajero,herido,Caida Ocupante,M,58,1
2018-11-01,CARRERA 15SUR N°78-123,Pasajero,herido,Choque,M,54,1
2018-11-01,CL 110 CR 31,Motociclista,herido,Choque,M,22,1
2018-11-01,CR 41D CL 78E,Motociclista,herido,Choque,M,26,1
2018-11-02,AV CIRCUNVALAR ENTRE CR 38 Y 46,Motociclista,herido,Choque,M,28,1
2018-11-02,AVENIDA CIRCUNVALAR CARRERA 30,Motociclista,herido,Choque,M,30,1
2018-11-02,CR 9 DIAG 5,Motociclista,herido,Choque,M,35,1
2018-11-03,VIA 40 CR 51,Peaton,herido,Atropello,M,26,1
2018-11-03,AV VIA 40 CR 53,Motociclista,herido,Choque,M,22,1
2018-11-03,CALLE 52 CARRERA 35,Motociclista,herido,Choque,F,23,1
2018-11-03,CARRERA 14 CALLE 54,Motociclista,herido,Choque,M,24,1
2018-11-03,CL 79 CR 45,Acompañante,herido,Choque,M,20,1
2018-11-03,CL 82 CR 42H,Motociclista,herido,Choque,M,21,1
2018-11-04,CALLE 110 CARRERA 12,Peaton,herido,Atropello,M,55,1
2018-11-04,CL 30 CR 35,Peaton,herido,Atropello,M,63,1
2018-11-04,VIA JUAN MINA K 6,Motociclista,herido,Choque,M,48,1
2018-11-05,CL 17 CR 25,Pasajero,herido,Choque,M,78,1
2018-11-06,CL 30 CR 4B,Motociclista,herido,Atropello,M,25,1
2018-11-06,AV CIRCUVALAR CL 78 30,Acompañante,herido,Choque,M,14,1
2018-11-06,AV CIRCUVALAR CL 78 30,Acompañante,herido,Choque,M,29,1
2018-11-06,AV CIRCUVALAR CL 78 30,Acompañante,herido,Choque,M,47,1
2018-11-06,AV CIRCUVALAR CL 78 30,Conductor,herido,Choque,M,28,1
2018-11-06,CALLE 110 CARRERA 9G,Acompañante,herido,Choque,M,59,1
2018-11-06,CL 30 CR 30,Conductor,herido,Choque,M,20,1
2018-11-07,CALLE 108 CARRERA 13C,Motociclista,herido,Choque,M,28,1
2018-11-07,CL 110 CR 6,Motociclista,herido,Choque,M,38,1
2018-11-07,CL 110 CR 6,Motociclista,herido,Choque,M,41,1
2018-11-07,CL 73 CR 38B,Motociclista,herido,Choque,M,28,1
2018-11-07,CR 38 CL 60,Acompañante,herido,Choque,M,33,1
2018-11-07,CR 38 CL 60,Motociclista,herido,Choque,F,25,1
2018-11-08,CARRERA 15 CALLE 63,Motociclista,herido,Choque,M,40,1
2018-11-08,CL 106 CR 49E,Motociclista,herido,Choque,F,38,1
2018-11-08,CL 17 30 78,Acompañante,herido,Choque,M,10,1
2018-11-08,CL 44 CR 40,Conductor,herido,Choque,M,33,1
2018-11-08,CL 57 CR 25,Conductor,herido,Choque,M,24,1
2018-11-08,CL 57 CR 25,Pasajero,herido,Choque,F,28,2
2018-11-08,CL 57 CR 25,Pasajero,herido,Choque,M,2,1
2018-11-08,CL 57 CR 25,Pasajero,herido,Choque,M,25,1
2018-11-08,CL 57 CR 25,Pasajero,herido,Choque,M,34,2
2018-11-08,CL 57 CR 25,Pasajero,herido,Choque,M,54,1
2018-11-08,CL 75 CR 60,Conductor,herido,Choque,M,51,1
2018-11-09,CR 51 CL 79,Peaton,herido,Atropello,M,20,1
2018-11-09,CARRERA 23 CALLE 30,Acompañante,herido,Choque,F,49,1
2018-11-09,CARRERA 23 CALLE 30,Motociclista,herido,Choque,M,49,1
2018-11-09,CARRERA 41D CALLE 81,Motociclista,herido,Choque,M,59,1
2018-11-10,CALLE 110 N°36-13,Motociclista,herido,Choque,M,36,1
2018-11-10,CR 14 CL 54,Motociclista,herido,Choque,M,20,1
2018-11-10,CR 38 52 78,Motociclista,herido,Volcamiento,F,40,1
2018-11-11,CLLE 74 CRA 48,Peaton,herido,Atropello,M,24,1
2018-11-11,CARRERA 38 ENTRADA PINAR DEL RIO,Conductor,herido,Choque,F,19,1
2018-11-11,CR 38 CL 55,Acompañante,herido,Choque,F,34,1
2018-11-11,CR 38 CL 55,Acompañante,herido,Choque,M,38,1
2018-11-12,CARRERA 9SUR CALLE 48F Y 49,Pasajero,herido,Atropello,F,22,1
2018-11-12,CARRERA 9SUR CALLE 48F Y 49,Peaton,herido,Atropello,F,20,1
2018-11-12,CL 45 CR 43,Ciclista,herido,Atropello,M,57,1
2018-11-12,CALLE 26 CARRERA 15,Motociclista,herido,Choque,M,34,1
2018-11-12,CALLE 68 CARRERA 22B,Conductor,herido,Choque,M,56,1
2018-11-12,CALLE 68 CARRERA 22B,Motociclista,herido,Choque,M,32,1
2018-11-12,CL 82 CR 51B,Acompañante,herido,Choque,F,18,1
2018-11-12,CL 82 CR 51B,Acompañante,herido,Choque,F,29,1
2018-11-12,CL 82 CR 51B,Acompañante,herido,Choque,M,11,1
2018-11-12,CR 37 CL 114,Ciclista,herido,Choque,M,63,1
2018-11-13,CALLE 110 CARRERA 46,Motociclista,herido,Choque,M,23,1
2018-11-13,CARRERA 22 CALLE 47C,Motociclista,herido,Choque,M,41,1
2018-11-13,CARRERA 24 CALLE 68,Motociclista,herido,Choque,M,20,1
2018-11-13,CL 110 CR 6,Motociclista,herido,Choque,M,21,1
2018-11-13,CL 45 AV CIRCUNVALAR,Motociclista,herido,Choque,M,31,1
2018-11-13,CR 15 SUR CL 90B,Conductor,herido,Choque,M,41,1
2018-11-13,CR 15 SUR CL 90B,Pasajero,herido,Choque,M,38,2
2018-11-13,CR 15 SUR CL 90B,Pasajero,herido,Choque,M,63,1
2018-11-13,CR 30 44 45,Motociclista,herido,Choque,M,23,1
2018-11-13,CR 46 CL 55,Peaton,herido,Choque,M,63,1
2018-11-13,CR 9G CL 128,Acompañante,herido,Choque,M,40,1
2018-11-13,CR 9G CL 128,Motociclista,herido,Choque,M,58,1
2018-11-14,CARRERA 64B CALLE 91,Peaton,herido,Atropello,F,73,1
2018-11-14,CL 24 CR 26,Peaton,herido,Atropello,M,43,1
2018-11-14,CL 83 CR 76,Peaton,herido,Atropello,M,7,1
2018-11-14,CL 83 CR 76,Peaton,herido,Atropello,M,40,1
2018-11-14,CR 54 CL 68,Conductor,herido,Choque,M,51,1
2018-11-14,CR 13 CL 115,Motociclista,herido,Otro,M,28,1
2018-11-15,CALLE 6 CARRERA 7,Peaton,herido,Atropello,F,27,1
2018-11-15,AV CIRCUNVALAR CR 46 Y 38,Conductor,herido,Choque,M,60,1
2018-11-15,CALLE 57 CARRERA 33,Motociclista,herido,Choque,M,35,1
2018-11-15,CL 26 CR 10,Motociclista,herido,Choque,M,19,1
2018-11-16,AVENIDA CIRCUNVALAR CALLE 51B,Peaton,herido,Atropello,M,48,1
2018-11-16,CALLE 51B CARRERA 4SUR,Motociclista,herido,Choque,M,25,1
2018-11-16,CL 80 CR 45,Motociclista,herido,Choque,M,44,1
2018-11-16,CL 87 CR 75A,Motociclista,herido,Choque,M,27,1
2018-11-16,CR 26B 75 49,Motociclista,herido,Choque,M,37,1
2018-11-16,CARRERA 77B CALLE 88,Motociclista,herido,Otro,F,31,1
2018-11-16,CL 110 CR 55,Conductor,herido,Volcamiento,M,42,1
2018-11-17,CL 84 CR 64,Motociclista,herido,Atropello,M,55,1
2018-11-17,CL 84 CR 64,Pasajero,herido,Atropello,M,17,1
2018-11-17,CR 14 CL 51,Peaton,herido,Atropello,M,56,1
2018-11-17,AV CORDIALIDAD CR 19,Pasajero,herido,Choque,M,22,1
2018-11-17,CALLE 60 CARRERA 15,Motociclista,herido,Choque,M,30,1
2018-11-17,CL 31 CR 13,Motociclista,herido,Choque,M,25,1
2018-11-17,CL 75 CR 59,Motociclista,herido,Choque,M,27,1
2018-11-17,CL 75 CR 59,Motociclista,herido,Choque,M,35,1
2018-11-17,CL 86 CR 52,Conductor,herido,Choque,M,25,1
2018-11-17,DIAG 5 CR 13,Acompañante,herido,Choque,M,28,1
2018-11-18,CARRERA 13 CALLE 72,Motociclista,herido,Atropello,M,21,1
2018-11-18,CARRERA 13 CALLE 72,Peaton,herido,Atropello,M,73,1
2018-11-18,CL 84 CR 41D,Motociclista,herido,Choque,M,36,1
2018-11-18,CR 46 CL 110,Acompañante,herido,Choque,F,21,1
2018-11-18,CR 46 CL 110,Acompañante,herido,Choque,M,22,1
2018-11-18,CR 46 CL 110,Acompañante,herido,Choque,M,29,1
2018-11-18,CR 46 CL 110,Conductor,herido,Choque,M,20,1
2018-11-18,CR 46 CL 110,Conductor,herido,Choque,M,21,1
2018-11-18,CR 46 CL 59,Motociclista,herido,Choque,M,21,1
2018-11-18,CR 5B CL 42,Motociclista,herido,Choque,M,30,1
2018-11-18,CR 5B CL 42,Motociclista,herido,Choque,M,40,1
2018-11-18,CR 8H CL 41,Acompañante,herido,Choque,M,25,1
2018-11-18,CR 8H CL 41,Acompañante,herido,Choque,M,26,1
2018-11-18,CR 8H CL 41,Pasajero,herido,Choque,M,52,1
2018-11-19,CL 30 CR 3E,Peaton,herido,Atropello,M,24,1
2018-11-19,AV 40 CR 51,Motociclista,herido,Choque,M,36,1
2018-11-19,AV CIRCUNVALAR CL 73B 15 40,Conductor,herido,Choque,M,27,1
2018-11-19,AV CIRCUNVALAR CL 73B 15 40,Pasajero,herido,Choque,F,37,1
2018-11-19,AV CIRCUNVALAR CR 12E,Pasajero,herido,Choque,F,31,1
2018-11-19,CALLE 110 CARRERA 9G-520,Motociclista,herido,Choque,M,24,1
